area,lead_total,wc_total,lead_per,strict_replaced,strict_repl_rate_vs_lead_total
EASTVIEW,81,1112,7.28417266187,43,0.5308641975308642
NORTH CENTRAL,940,7134,13.1763386599,411,0.4372340425531915
CATHEDRAL,936,4406,21.2437585111,400,0.42735042735042733
HERITAGE,692,3380,20.4733727811,243,0.3511560693641618
WAREHOUSE DISTRICT,86,1639,5.2471018914,29,0.3372093023255814
OLD LAKEVIEW,174,1032,16.8604651163,49,0.28160919540229884
AL RITCHIE,454,4381,10.3629308377,126,0.2775330396475771
ROSEMONT/MOUNT ROYAL,65,4108,1.58227848101,18,0.27692307692307694
LAKEVIEW,19,413,4.6004842615,5,0.2631578947368421
MCNAB,64,715,8.95104895105,10,0.15625
DOWNTOWN,46,991,4.64177598385,6,0.13043478260869565
CENTRE SQUARE,67,1032,6.49224806202,7,0.1044776119402985
ROSS INDUSTRIAL,12,982,1.22199592668,1,0.08333333333333333
NORTHEAST,1,2910,0.0343642611684,0,0.0
