ct_uid_code,geometry_source_ctuid,geometry_match_type,ct_dguid,active_lead_count,replaced_since_2019,replacement_rate,impacted_people_est,impacted_children_0_14_est,tenure_renter_pct,median_after_tax_income_households,lim_at_prevalence_pct,unemployment_rate_pct,children_0_14_pct,indigenous_identity_pct,visible_minority_count,immigrant_count,lone_parent_family_count
7050001.01,7050001.01,exact,2016S05077050001.01,39.195,12.878,0.328569,101.56,19.44,14.919355,86016.0,6.1,4.4,19.14099,4.938272,345.0,375.0,125.0
7050001.02,7050001.02,exact,2016S05077050001.02,56.7,18.63,0.328566,144.845,25.041,32.225914,72806.0,14.9,6.2,17.288219,3.990025,1225.0,865.0,195.0
7050002.01,7050002.01,exact,2016S05077050002.01,70.747,23.245,0.328568,152.05,21.559,38.386308,70955.0,8.3,5.8,14.178766,3.125,890.0,935.0,130.0
7050002.02,7050002.02,exact,2016S05077050002.02,102.166,33.569,0.328567,243.666,32.094,41.952984,66573.0,10.6,6.7,13.171374,3.98749,1860.0,1640.0,210.0
7050003.00,7050003.00,exact,2016S05077050003.00,84.654,27.815,0.328569,191.968,32.066,38.074398,70195.0,10.8,5.7,16.703786,6.049496,1610.0,1325.0,205.0
7050004.00,7050004.01,crosswalk_surrogate,2016S05077050004.00,156.758,51.505,0.328567,344.014,73.688,26.641414,78810.0,10.4,5.4,21.420071,5.155155,3495.0,2935.0,325.0
7050005.00,7050005.00,exact,2016S05077050005.00,61.916,20.343,0.328567,142.767,23.588,16.944444,81899.0,7.1,5.0,16.522334,7.542579,290.0,420.0,185.0
7050006.00,7050006.01,crosswalk_surrogate,2016S05077050006.00,125.673,41.292,0.328567,275.155,32.05,37.871674,64998.0,16.3,5.1,11.64803,3.082437,1980.0,1455.0,255.0
7050007.00,7050007.00,exact,2016S05077050007.00,47.68,15.666,0.328565,108.298,14.401,74.299065,46528.0,24.6,9.7,13.297872,11.564626,590.0,475.0,105.0
7050008.01,7050008.01,exact,2016S05077050008.01,91.338,30.011,0.328569,195.295,29.825,27.290837,67090.0,8.9,3.6,15.271893,9.437387,565.0,525.0,355.0
7050008.02,7050008.02,exact,2016S05077050008.02,37.971,12.476,0.328567,84.235,12.733,27.876106,79829.0,5.2,5.8,15.116279,4.109589,300.0,345.0,90.0
7050009.01,7050009.01,exact,2016S05077050009.01,77.281,25.392,0.328567,163.019,28.775,34.501348,55012.0,18.1,7.2,17.651297,17.619603,1075.0,940.0,295.0
7050009.02,7050009.02,exact,2016S05077050009.02,74.122,24.354,0.328567,183.88,37.194,42.73743,71680.0,15.9,7.8,20.227038,8.5353,1305.0,1055.0,265.0
7050010.00,7050010.00,exact,2016S05077050010.00,75.104,24.677,0.328568,121.336,18.52,69.435216,41376.0,24.0,6.0,15.262964,17.708333,820.0,655.0,145.0
7050011.00,7050011.00,exact,2016S05077050011.00,148.66,48.845,0.328568,171.785,5.225,82.562278,35083.0,27.4,5.5,3.041523,8.194444,700.0,665.0,70.0
7050012.00,7050012.00,exact,2016S05077050012.00,118.692,38.998,0.328567,213.043,34.093,52.823315,53483.0,17.7,6.9,16.002977,9.065421,725.0,800.0,285.0
7050013.00,7050013.00,exact,2016S05077050013.00,18.548,6.094,0.328569,31.776,0.471,78.571429,24640.0,36.4,0.0,1.481481,5.813953,55.0,60.0,5.0
7050014.00,7050014.00,exact,2016S05077050014.00,43.491,14.29,0.328568,82.504,13.435,72.222222,31600.0,38.0,14.3,16.28468,23.666667,430.0,400.0,110.0
7050015.00,7050015.00,exact,2016S05077050015.00,36.031,11.839,0.328569,84.073,16.272,32.183908,60544.0,17.4,8.6,19.354839,17.865429,410.0,370.0,170.0
7050016.00,7050016.00,exact,2016S05077050016.00,90.181,29.63,0.328567,237.014,46.62,36.382979,64811.0,14.3,5.4,19.669552,11.453397,1915.0,1610.0,365.0
7050017.00,7050017.00,exact,2016S05077050017.00,35.134,11.544,0.328565,75.202,14.921,34.437086,60864.0,16.4,10.1,19.84127,24.376731,245.0,250.0,170.0
7050018.00,7050018.00,exact,2016S05077050018.00,141.361,46.447,0.328567,278.208,72.439,59.806295,39893.0,40.3,18.5,26.037736,44.674835,810.0,740.0,565.0
7050019.00,7050019.00,exact,2016S05077050019.00,89.062,29.263,0.328568,188.377,41.583,41.242938,47161.0,27.1,7.8,22.074282,27.561837,715.0,565.0,395.0
7050020.00,7050020.00,exact,2016S05077050020.00,56.999,18.728,0.328566,124.42,23.734,31.632653,60245.0,12.5,8.1,19.076006,16.341829,430.0,475.0,265.0
7050021.00,7050021.00,exact,2016S05077050021.00,44.499,14.621,0.328567,97.151,20.0,35.680751,60851.0,15.4,7.1,20.585907,17.153996,510.0,435.0,180.0
7050022.01,7050022.01,exact,2016S05077050022.01,31.864,10.469,0.328566,70.485,6.197,46.099291,44493.0,19.4,7.3,8.791832,12.757202,195.0,180.0,85.0
7050022.02,7050022.02,exact,2016S05077050022.02,65.132,21.4,0.328569,157.006,27.278,20.519481,73449.0,7.6,6.0,17.373694,9.989373,460.0,445.0,270.0
7050023.01,7050023.01,exact,2016S05077050023.01,37.448,12.304,0.328568,92.028,16.563,11.440678,77632.0,4.7,6.4,17.997943,9.2257,295.0,315.0,135.0
7050023.02,7050023.02,exact,2016S05077050023.02,60.186,19.775,0.328569,158.238,34.75,35.060976,71066.0,10.9,6.8,21.960607,9.080048,1055.0,950.0,225.0
7050024.00,7050024.00,exact,2016S05077050024.00,40.627,13.349,0.328569,99.667,21.621,15.068493,68288.0,12.0,5.3,21.693492,14.802065,410.0,395.0,180.0
7050025.01,7050025.01,exact,2016S05077050025.01,70.081,23.026,0.328569,170.467,40.703,41.590214,55776.0,19.5,5.8,23.877069,17.535545,1095.0,940.0,325.0
7050025.02,7050025.02,exact,2016S05077050025.02,51.534,16.932,0.328567,117.801,18.876,39.711191,57952.0,11.7,9.1,16.023647,9.667195,670.0,610.0,170.0
7050026.00,7050026.00,exact,2016S05077050026.00,88.423,29.053,0.328568,161.808,23.322,54.791155,44437.0,16.7,6.3,14.413519,12.862547,810.0,740.0,225.0
7050027.00,7050027.00,exact,2016S05077050027.00,62.044,20.386,0.328568,141.503,27.918,32.890365,58304.0,16.1,7.4,19.729581,21.399177,410.0,370.0,290.0
7050028.01,7050028.01,exact,2016S05077050028.01,36.446,11.975,0.328569,96.714,21.039,15.668203,78720.0,9.1,5.2,21.754025,8.680556,460.0,435.0,175.0
7050028.02,7050028.02,exact,2016S05077050028.02,49.435,16.243,0.328569,132.59,27.504,26.937269,75118.0,12.0,6.5,20.743534,12.022631,360.0,415.0,280.0
7050028.03,7050028.03,exact,2016S05077050028.03,50.844,16.706,0.328568,134.878,23.067,14.603175,85760.0,5.2,4.9,17.102138,9.248555,525.0,570.0,170.0
7050100.01,7050100.01,exact,2016S05077050100.01,47.66,15.66,0.32857,121.439,21.409,20.216606,86418.0,6.0,5.3,17.629509,9.628611,270.0,310.0,195.0
7050100.02,7050100.02,exact,2016S05077050100.02,42.943,14.109,0.328567,129.856,30.694,1.315789,118807.0,1.4,4.2,23.636763,3.30033,560.0,455.0,95.0
7050100.03,7050100.03,exact,2016S05077050100.03,68.332,22.451,0.328566,176.86,33.138,16.829268,80384.0,6.4,6.5,18.737118,12.441534,445.0,465.0,350.0
7050100.04,7050100.05,crosswalk_surrogate,2016S05077050100.04,117.243,38.522,0.328567,300.188,65.953,16.455696,95049.0,4.7,4.5,21.970567,4.564533,1765.0,1510.0,325.0
7050100.05,7050100.05,exact,2016S05077050100.05,30.437,10.001,0.328572,76.88,12.603,15.183246,86930.0,3.5,2.4,16.393443,8.484848,220.0,155.0,95.0
7050100.08,7050100.08,exact,2016S05077050100.08,75.171,24.699,0.328567,179.06,27.063,17.14922,84082.0,6.4,4.4,15.113798,4.343808,820.0,890.0,215.0
7050100.09,7050100.10,crosswalk_surrogate,2016S05077050100.09,114.638,37.666,0.328567,292.124,64.248,23.746313,92369.0,5.1,4.3,21.993318,6.309324,850.0,805.0,370.0
7050100.10,7050100.10,exact,2016S05077050100.10,74.314,24.417,0.328566,207.932,42.317,7.231405,91056.0,4.2,5.2,20.351391,6.163887,1040.0,990.0,290.0
7050100.11,7050100.11,exact,2016S05077050100.11,52.381,17.211,0.328568,125.09,25.18,32.234432,68395.0,13.4,7.9,20.129298,12.462462,620.0,640.0,220.0
7050100.12,7050100.11,crosswalk_surrogate,2016S05077050100.12,108.748,35.731,0.328568,294.701,66.791,12.291351,118451.0,3.9,3.7,22.664057,2.779207,2825.0,2180.0,205.0
7050100.13,7050100.13,exact,2016S05077050100.13,79.607,26.156,0.328567,202.75,39.141,8.433735,102272.0,4.5,5.4,19.305019,2.827381,1300.0,1075.0,170.0
7050100.14,7050100.14,exact,2016S05077050100.14,16.304,5.357,0.328558,50.211,8.508,10.784314,93056.0,5.7,2.9,16.943931,4.285714,35.0,40.0,40.0
7050101.01,7050101.01,exact,2016S05077050101.01,57.911,19.028,0.328568,157.976,33.036,4.774536,96256.0,5.3,3.6,20.912188,2.651515,175.0,210.0,180.0
7050101.02,7050101.02,exact,2016S05077050101.02,62.092,20.401,0.328566,186.943,46.736,2.415459,126663.0,2.7,4.2,25.0,3.288958,210.0,300.0,125.0
7050102.00,7050102.00,exact,2016S05077050102.00,92.955,30.542,0.328569,174.827,28.484,11.607143,88704.0,6.1,3.8,16.292735,4.241877,45.0,165.0,170.0
7050103.00,7050103.00,exact,2016S05077050103.00,13.724,4.509,0.328571,35.204,8.503,4.938272,83904.0,5.5,1.5,24.152542,1.826484,10.0,15.0,35.0
7050104.00,7050104.00,exact,2016S05077050104.00,14.516,4.769,0.328558,37.809,7.519,3.529412,85248.0,7.1,5.0,19.886364,5.286344,10.0,35.0,30.0
