geo_uid,geo_id_code,geo_name,prov_code,geo,regina_filter_tag,population_total,private_dwellings_total,median_after_tax_income_households,lim_at_prevalence_pct,lim_at_children_0_17_count,lim_at_children_0_17_pct,tenure_total,tenure_owner,tenure_renter,indigenous_identity_total,indigenous_identity_count,age_0_14_total,age_0_4_total,age_5_9_total,age_10_14_total,immigrant_count,visible_minority_count,lone_parent_family_count,couples_with_children_count,unemployment_rate_pct,education_no_certificate_25_64,education_bachelor_or_higher_25_64,tenure_owner_pct,tenure_renter_pct,indigenous_identity_pct,children_0_14_pct
2016S05077050001.01,7050001.01,0001.01,47,CT,CT_DGUID_PREFIX_2016S0507705,3213.0,1240.0,86016.0,6.1,75.0,10.2,1240.0,1060.0,185.0,3240.0,160.0,615.0,190.0,225.0,195.0,375.0,345.0,125.0,410.0,4.4,60.0,745.0,85.483871,14.919355,4.938272,19.140990
2016S05077050001.02,7050001.02,0001.02,47,CT,CT_DGUID_PREFIX_2016S0507705,4049.0,1585.0,72806.0,14.9,170.0,19.5,1505.0,1020.0,485.0,4010.0,160.0,700.0,200.0,245.0,255.0,865.0,1225.0,195.0,475.0,6.2,130.0,945.0,67.774086,32.225914,3.990025,17.288219
2016S05077050002.01,7050002.01,0002.01,47,CT,CT_DGUID_PREFIX_2016S0507705,4408.0,2051.0,70955.0,8.3,105.0,14.1,2045.0,1265.0,785.0,4480.0,140.0,625.0,160.0,235.0,235.0,935.0,890.0,130.0,480.0,5.8,60.0,975.0,61.858191,38.386308,3.125000,14.178766
2016S05077050002.02,7050002.02,0002.02,47,CT,CT_DGUID_PREFIX_2016S0507705,6833.0,2865.0,66573.0,10.6,150.0,13.9,2765.0,1605.0,1160.0,6395.0,255.0,900.0,355.0,290.0,255.0,1640.0,1860.0,210.0,725.0,6.7,130.0,1625.0,58.047016,41.952984,3.987490,13.171374
2016S05077050003.00,7050003.00,0003.00,47,CT,CT_DGUID_PREFIX_2016S0507705,5388.0,2376.0,70195.0,10.8,140.0,13.1,2285.0,1410.0,870.0,5455.0,330.0,900.0,320.0,320.0,265.0,1325.0,1610.0,205.0,635.0,5.7,135.0,1460.0,61.706783,38.074398,6.049496,16.703786
2016S05077050004.00,7050004.00,0004.00,47,CT,CT_DGUID_PREFIX_2016S0507705,10084.0,4595.0,78810.0,10.4,335.0,13.9,3960.0,2910.0,1055.0,9990.0,515.0,2160.0,1020.0,640.0,500.0,2935.0,3495.0,325.0,1370.0,5.4,295.0,2960.0,73.484848,26.641414,5.155155,21.420071
2016S05077050005.00,7050005.00,0005.00,47,CT,CT_DGUID_PREFIX_2016S0507705,4388.0,1903.0,81899.0,7.1,90.0,10.7,1800.0,1500.0,305.0,4110.0,310.0,725.0,230.0,260.0,230.0,420.0,290.0,185.0,475.0,5.0,80.0,1130.0,83.333333,16.944444,7.542579,16.522334
2016S05077050006.00,7050006.00,0006.00,47,CT,CT_DGUID_PREFIX_2016S0507705,7512.0,3431.0,64998.0,16.3,205.0,19.2,3195.0,1985.0,1210.0,6975.0,215.0,875.0,290.0,280.0,305.0,1455.0,1980.0,255.0,685.0,5.1,140.0,1725.0,62.128326,37.871674,3.082437,11.648030
2016S05077050007.00,7050007.00,0007.00,47,CT,CT_DGUID_PREFIX_2016S0507705,2444.0,1076.0,46528.0,24.6,155.0,40.8,1070.0,270.0,795.0,2205.0,255.0,325.0,120.0,110.0,95.0,475.0,590.0,105.0,165.0,9.7,95.0,360.0,25.233645,74.299065,11.564626,13.297872
2016S05077050008.01,7050008.01,0008.01,47,CT,CT_DGUID_PREFIX_2016S0507705,5664.0,2649.0,67090.0,8.9,150.0,14.6,2510.0,1825.0,685.0,5510.0,520.0,865.0,360.0,285.0,220.0,525.0,565.0,355.0,595.0,3.6,250.0,875.0,72.709163,27.290837,9.437387,15.271893
2016S05077050008.02,7050008.02,0008.02,47,CT,CT_DGUID_PREFIX_2016S0507705,2580.0,1163.0,79829.0,5.2,20.0,4.3,1130.0,810.0,315.0,2555.0,105.0,390.0,115.0,135.0,140.0,345.0,300.0,90.0,315.0,5.8,50.0,475.0,71.681416,27.876106,4.109589,15.116279
2016S05077050009.01,7050009.01,0009.01,47,CT,CT_DGUID_PREFIX_2016S0507705,4164.0,1974.0,55012.0,18.1,265.0,30.3,1855.0,1215.0,640.0,4285.0,755.0,735.0,285.0,220.0,230.0,940.0,1075.0,295.0,370.0,7.2,305.0,535.0,65.498652,34.501348,17.619603,17.651297
