geo_uid,geo_id_code,geo_name,prov_code,geo,regina_filter_tag,population_total,private_dwellings_total,median_after_tax_income_households,lim_at_prevalence_pct,lim_at_children_0_17_count,lim_at_children_0_17_pct,tenure_total,tenure_owner,tenure_renter,indigenous_identity_total,indigenous_identity_count,age_0_14_total,age_0_4_total,age_5_9_total,age_10_14_total,immigrant_count,visible_minority_count,lone_parent_family_count,couples_with_children_count,unemployment_rate_pct,education_no_certificate_25_64,education_bachelor_or_higher_25_64,tenure_owner_pct,tenure_renter_pct,indigenous_identity_pct,children_0_14_pct
2016S051247060129,47060129,0129,47,DA,DA_GEOID_PREFIX_4706,478.0,140.0,75947.0,6.5,5.0,8.3,140.0,130.0,15.0,365.0,0.0,55.0,20.0,20.0,15.0,40.0,20.0,10.0,30.0,6.1,10.0,90.0,92.857143,10.714286,0.000000,11.506276
2016S051247060130,47060130,0130,47,DA,DA_GEOID_PREFIX_4706,518.0,218.0,83712.0,5.8,10.0,10.5,205.0,180.0,25.0,500.0,55.0,80.0,20.0,35.0,25.0,40.0,30.0,20.0,60.0,10.9,15.0,100.0,87.804878,12.195122,11.000000,15.444015
2016S051247060131,47060131,0131,47,DA,DA_GEOID_PREFIX_4706,486.0,255.0,55424.0,13.5,20.0,23.5,220.0,115.0,105.0,415.0,90.0,65.0,25.0,20.0,15.0,55.0,50.0,40.0,35.0,11.5,20.0,125.0,52.272727,47.727273,21.686747,13.374486
2016S051247060132,47060132,0132,47,DA,DA_GEOID_PREFIX_4706,527.0,251.0,71936.0,9.5,10.0,9.5,255.0,210.0,40.0,520.0,80.0,100.0,45.0,35.0,20.0,30.0,25.0,30.0,50.0,3.1,20.0,95.0,82.352941,15.686275,15.384615,18.975332
2016S051247060133,47060133,0133,47,DA,DA_GEOID_PREFIX_4706,477.0,205.0,102144.0,5.3,5.0,5.3,185.0,155.0,35.0,405.0,0.0,75.0,25.0,25.0,25.0,65.0,50.0,10.0,60.0,4.1,0.0,110.0,83.783784,18.918919,0.000000,15.723270
2016S051247060134,47060134,0134,47,DA,DA_GEOID_PREFIX_4706,478.0,213.0,95573.0,5.2,0.0,0.0,200.0,165.0,30.0,505.0,25.0,80.0,15.0,30.0,30.0,40.0,10.0,20.0,65.0,3.0,0.0,170.0,82.500000,15.000000,4.950495,16.736402
2016S051247060135,47060135,0135,47,DA,DA_GEOID_PREFIX_4706,469.0,196.0,93611.0,5.3,10.0,9.5,185.0,165.0,15.0,455.0,35.0,90.0,25.0,35.0,30.0,30.0,10.0,15.0,60.0,6.0,0.0,140.0,89.189189,8.108108,7.692308,19.189765
2016S051247060136,47060136,0136,47,DA,DA_GEOID_PREFIX_4706,475.0,205.0,85504.0,7.4,15.0,13.6,195.0,165.0,30.0,485.0,0.0,90.0,25.0,30.0,35.0,90.0,105.0,15.0,60.0,3.2,10.0,145.0,84.615385,15.384615,0.000000,18.947368
2016S051247060137,47060137,0137,47,DA,DA_GEOID_PREFIX_4706,599.0,299.0,64384.0,8.4,10.0,8.7,280.0,165.0,120.0,570.0,15.0,100.0,35.0,40.0,25.0,65.0,75.0,25.0,65.0,5.3,20.0,180.0,58.928571,42.857143,2.631579,16.694491
2016S051247060138,47060138,0138,47,DA,DA_GEOID_PREFIX_4706,480.0,220.0,81408.0,6.3,10.0,10.5,215.0,210.0,10.0,445.0,20.0,85.0,30.0,30.0,25.0,35.0,10.0,20.0,55.0,3.4,0.0,170.0,97.674419,4.651163,4.494382,17.708333
